time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,date_local
2024-02-23 22:00,0.0,16.71,2.67,82.82,9854.0,-999.0,2024-02-24
2024-02-23 23:00,0.0,16.56,2.74,84.19,9853.0,-999.0,2024-02-24
2024-02-24 00:00,0.0,16.4,2.74,84.96,9851.0,-999.0,2024-02-24
2024-02-24 01:00,0.0,16.5,3.16,85.01,9853.0,-999.0,2024-02-24
2024-02-24 02:00,0.0,16.47,3.81,86.27,9854.0,-999.0,2024-02-24
2024-02-24 03:00,0.0,16.3,4.06,88.58,9856.0,-999.0,2024-02-24
2024-02-24 04:00,0.0,15.9,4.15,92.03,9859.0,-999.0,2024-02-24
2024-02-24 05:00,8.75,15.82,4.71,93.17,9865.0,0.25,2024-02-24
2024-02-24 06:00,128.8,17.06,6.38,84.22,9873.0,0.2,2024-02-24
2024-02-24 07:00,282.52,18.68,7.61,71.72,9878.0,0.18,2024-02-24
2024-02-24 08:00,443.35,20.24,8.11,63.25,9879.0,0.17,2024-02-24
2024-02-24 09:00,550.22,21.65,8.44,57.74,9877.0,0.17,2024-02-24
2024-02-24 10:00,599.0,22.75,8.61,54.44,9875.0,0.16,2024-02-24
2024-02-24 11:00,673.78,23.39,8.66,53.46,9874.0,0.17,2024-02-24
2024-02-24 12:00,733.9,23.52,8.71,54.61,9875.0,0.16,2024-02-24
2024-02-24 13:00,573.03,22.96,8.5,58.61,9874.0,0.16,2024-02-24
2024-02-24 14:00,542.12,22.02,7.97,64.54,9873.0,0.16,2024-02-24
2024-02-24 15:00,357.52,21.13,6.96,70.04,9875.0,0.17,2024-02-24
2024-02-24 16:00,205.15,20.11,6.27,74.67,9878.0,0.17,2024-02-24
2024-02-24 17:00,71.7,18.76,5.88,79.82,9884.0,0.17,2024-02-24
2024-02-24 18:00,3.5,17.61,5.73,82.92,9894.0,0.19,2024-02-24
2024-02-24 19:00,0.0,17.02,5.77,82.13,9907.0,-999.0,2024-02-24
2024-02-24 20:00,0.0,16.66,5.88,79.72,9917.0,-999.0,2024-02-24
2024-02-24 21:00,0.0,16.4,5.7,76.7,9923.0,-999.0,2024-02-24
